Имя	Описание	Состояние  	Тип запуска	Вход от имени
AarSvc_5291a	Runtime for activating conversational agent applications	Выполняется	Вручную	Локальная система
AppleChargerSrv	Apple mobile devices charging service		Вручную	Локальная система
BcastDVRUserService_5291a	Эта пользовательская служба используется для записи игр и прямых трансляций		Вручную	Локальная система
BluetoothUserService_5291a	Служба поддержки пользователей Bluetooth обеспечивает правильную работу функций Bluetooth, задействованных в каждом отдельном сеансе пользователя.		Вручную (активировать запуск)	Локальная система
BranchCache	Эта служба кэширует сетевое содержимое, полученное от кэширующих узлов локальной подсети.		Вручную	Сетевая служба
CaptureService_5291a	Включает дополнительную функцию захвата содержимого на экране для приложений, вызывающих API Windows.Graphics.Capture.		Вручную	Локальная система
cbdhsvc_5291a	Эта пользовательская служба применяется для сценариев буфера обмена	Выполняется	Автоматически (отложенный запуск)	Локальная система
CDPUserSvc_5291a	Эта пользовательская служба используется в сценариях платформы подключенных устройств	Выполняется	Автоматически	Локальная система
ConsentUxUserSvc_5291a	Позволяет системе запрашивать согласие пользователя на разрешение приложениям доступа к конфиденциальным ресурсам и информации, такой как расположение устройства		Вручную	Локальная система
CoreMessaging	Manages communication between system components.	Выполняется	Автоматически	Локальная служба
CredentialEnrollmentManagerUserSvc_5291a	Диспетчер регистрации учетных данных		Вручную	Локальная система
dcsvc	Служба объявленной конфигурации (DC)		Вручную (активировать запуск)	Локальная система
DeviceAssociationBrokerSvc_5291a	Enables apps to pair devices		Вручную	Локальная система
DevicePickerUserSvc_5291a	Эта пользовательская служба применяется, чтобы управлять интерфейсом Miracast, DLNA и DIAL		Вручную	Локальная система
DevicesFlowUserSvc_5291a	Позволяет функциям ConnectUX и "Параметры ПК" создавать подключения и сопряжения с дисплеями Wi-Fi и устройствами Bluetooth.		Вручную	Локальная система
DHCP-клиент	Регистрирует и обновляет IP-адреса и DNS-записи для этого компьютера. Если данная служба остановлена, этот компьютер не сможет получать динамические IP-адреса и выполнять обновления DNS. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.	Выполняется	Автоматически	Локальная служба
Diagnostic Execution Service	Executes diagnostic actions for troubleshooting support		Вручную (активировать запуск)	Локальная система
DialogBlockingService	Служба блокировки диалогового окна		Отключена	Локальная система
DNS-клиент	Служба DNS-клиента (dnscache) кэширует имена DNS и регистрирует полное имя этого компьютера. Если служба остановлена, разрешение имен DNS будет продолжаться, но результаты запросов имен DNS не будут кэшироваться, а имя компьютера не будет зарегистрировано. Если служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Автоматически (запуск по триггеру)	Сетевая служба
Easy Anti-Cheat (Epic Online Services)	Provides security for online multiplayer games.		Вручную	Локальная система
EasyAntiCheat	Provides integrated security and services for online multiplayer games.		Вручную	Локальная система
EasyTuneEngineService		Выполняется	Автоматически	Локальная система
GIGABYTE Adjust		Выполняется	Автоматически	Локальная система
GIGABYTE Update Service		Выполняется	Автоматически	Локальная система
Google Chrome Elevation Service (GoogleChromeElevationService)			Вручную	Локальная система
Grafana		Выполняется	Автоматически	Локальная система
GraphicsPerfSvc	Graphics performance monitor service		Вручную (активировать запуск)	Локальная система
Intel(R) Dynamic Application Loader Host Interface Service	Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL	Выполняется	Автоматически	Локальная система
Intel(R) Management Engine WMI Provider Registration	Intel(R) Management Engine WMI Provider Registration Service	Выполняется	Автоматически	Локальная система
Kaspersky Anti-Virus Service 21.3	Обеспечивает защиту компьютера от вирусов и других вредоносных программ, сетевых атак, интернет-мошенничества и спама.	Выполняется	Автоматически	Локальная система
Kaspersky Secure Connection Service 5.3	Обеспечивает защиту от кражи ваших конфиденциальных данных (номеров банковских карт, паролей для доступа к интернет-банкингу), а также финансов при выполнении онлайн-платежей.		Вручную	Локальная система
Kaspersky Volume Shadow Copy Service Bridge 21.3	Kaspersky Volume Shadow Copy Service Bridge		Вручную	Локальная система
KtmRm для координатора распределенных транзакций	Координирует транзакции между MS DTC и диспетчером транзакций ядра (KTM). Если данная служба не требуется, рекомендуется не запускать ее. Если она потребуется, MS DTC или KTM автоматически запустят ее. Если служба отключена, то при взаимодействии MS DTC с диспетчером транзакций ядра будут возникать ошибки и запуск всех служб, явно зависящих от нее, станет невозможным.		Вручную (активировать запуск)	Сетевая служба
McpManagementService	<Не удается прочитать описание. Код ошибки: 15100 > 		Вручную	Локальная система
MessagingService_5291a	Служба, отвечающая за обмен сообщениями и связанные с этим функции.		Вручную (активировать запуск)	Локальная система
Microsoft App-V Client	Manages App-V users and virtual applications		Отключена	Локальная система
Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)	Keeps Microsoft Edge up to update. If this service is disabled, the application will not be kept up to date.		Вручную	Локальная система
Microsoft Edge Update Service (edgeupdate)	Обеспечивает актуальность программного обеспечения Майкрософт. Если эта служба отключена или остановлена, программное обеспечение Майкрософт не обновляется, в результате чего не устраняются нарушения безопасности и не работают функции программы. Служба автоматически удаляется, когда отсутствует программное обеспечение Майкрософт, для которого она используется.		Автоматически (отложенный запуск, запуск по триггеру)	Локальная система
Microsoft Edge Update Service (edgeupdatem)	Обеспечивает актуальность программного обеспечения Майкрософт. Если эта служба отключена или остановлена, программное обеспечение Майкрософт не обновляется, в результате чего не устраняются нарушения безопасности и не работают функции программы. Служба автоматически удаляется, когда отсутствует программное обеспечение Майкрософт, для которого она используется.		Вручную (активировать запуск)	Локальная система
Microsoft Update Health Service	Maintains Update Health		Отключена	Локальная система
nfluxdb_		Выполняется	Автоматически	Локальная система
NPSMSvc_5291a	<Не удается прочитать описание. Код ошибки: 15100 > 	Выполняется	Вручную	Локальная система
NVIDIA Display Container LS	Container service for NVIDIA root features	Выполняется	Автоматически	Локальная система
NVIDIA FrameView SDK service	NVIDIA FrameView SDK service		Вручную (активировать запуск)	Локальная система
NVIDIA LocalSystem Container	Container service for NVIDIA root features	Выполняется	Автоматически	Локальная система
OCButtonService			Автоматически	Локальная система
Office  Source Engine	Saves installation files used for updates and repairs and is required for the downloading of Setup updates and Watson error reports.		Вручную	Локальная система
